minute,x,y,distance_to_goal,angle_to_goal,body_part,shot_type,under_pressure,is_goal
14,111.0,53.7,16.39176622576103,0.25254536705662967,Head,Open Play,False,0
23,85.0,51.0,36.68787265568828,0.18993757639093437,Right Foot,Open Play,False,0
28,108.1,35.6,12.687395319765209,0.5332306441724657,Head,Open Play,False,0
35,94.0,32.0,27.202941017470888,0.2561756566544302,Right Foot,Open Play,False,0
37,111.0,26.0,16.64331697709324,0.2449033260022997,Left Foot,Open Play,False,0
41,111.3,53.5,16.06051057718901,0.2547604565454905,Right Foot,Open Play,False,0
42,114.1,33.1,9.078546139112806,0.5590966235889184,Head,Open Play,False,0
44,101.0,42.2,19.126944345608372,0.3758559089178781,Right Foot,Open Play,False,0
45,113.6,47.9,10.167103815738287,0.48005553899547426,Left Foot,Open Play,False,0
47,109.0,51.0,15.556349186104045,0.33865490608713666,Right Foot,Open Play,False,0
51,100.1,18.1,29.590876972472447,0.16736404662336035,Right Foot,Open Play,False,0
53,90.1,38.1,29.960307074527798,0.2426482769717457,Right Foot,Open Play,False,0
55,115.7,50.2,11.06932698947863,0.28079477774170347,Right Foot,Open Play,False,0
57,105.1,51.1,18.58009687811127,0.317567484493408,Right Foot,Open Play,False,0
57,111.2,49.3,12.803515142334932,0.4043374910667049,Right Foot,Open Play,True,0
60,109.3,39.2,10.729864864013901,0.6561078236140148,Head,Open Play,False,0
60,115.0,33.0,8.602325267042627,0.5432943391369315,Left Foot,Open Play,False,0
60,109.5,55.1,18.391846019364127,0.23231918019644182,Right Foot,Open Play,False,0
62,108.1,40.1,11.900420160649796,0.5967253993229286,Right Foot,Penalty,False,1
65,108.0,46.0,13.416407864998739,0.48519901791668035,Right Foot,Open Play,False,0
66,108.2,53.2,17.705366418123067,0.28026293276462233,Right Foot,Open Play,False,0
68,100.1,33.1,21.062288574606516,0.3264705677565779,Left Foot,Open Play,False,0
71,110.1,25.1,17.889102828258327,0.23208265471135514,Left Foot,Open Play,False,0
71,112.9,38.0,7.376313442364005,0.9026980872587129,Head,Open Play,True,0
72,101.8,38.6,18.25376673456742,0.39471695965345777,Right Foot,Open Play,False,0
73,108.1,51.1,16.273291000900837,0.3335159031076912,Left Foot,Open Play,False,0
78,97.0,55.1,27.5138147118861,0.2226538736150908,Left Foot,Open Play,False,0
82,86.5,44.2,33.76225703355746,0.2143403175435039,Right Foot,Free Kick,False,0
84,100.1,29.8,22.3617977810372,0.29083773727680223,Right Foot,Open Play,False,0
85,103.2,39.0,16.82973558912914,0.4276081891146649,Left Foot,Open Play,False,0
85,114.1,49.1,10.845275469069474,0.39283698615527274,Right Foot,Open Play,False,0
85,104.0,52.0,20.0,0.29415674267612435,Right Foot,Open Play,False,0
85,104.0,45.0,16.76305461424021,0.4125455388414908,Right Foot,Open Play,False,0
87,104.1,58.1,24.091907354960508,0.20244906569219323,Right Foot,Open Play,False,1
